DW_Order_Item,Order ID,Order Date,Shipping Date,Number Of Days,Delivery Fee,Shipping Mode,DW_Customer_ID,DW_Product_ID,Warehouse_ID,Quantity,Discount Percentage,Discount Amount,Amount,Customer ID,Customer Name,Segment,City-1,Valid From,Valid Until,Product ID,Category,Sub-Category,Product-Name,Unit Cost,City,Province
15,11,18/11/2018,06/12/2018,18,8.649999619,Standard Class,51,369,16,2,0.200000003,1.848,7.392,315523959,Eleni McCrary,Corporate,CHATHAM,24/05/2017,,369,Office Supplies,Binders,"Acco Binder, Durable",4.62,CHATHAM,Ontario
16,11,18/11/2018,06/12/2018,18,8.649999619,Standard Class,51,439,16,3,0.200000003,19.002,76.008,315523959,Eleni McCrary,Corporate,CHATHAM,24/05/2017,,439,Furniture,Chairs,"Harbour Creations Chairmat, Black",31.67,CHATHAM,Ontario
17,12,12/01/2018,21/01/2018,9,95.839996338,First Class,394,177,14,3,0,0,425.85,315523509,Sheri Gordon,Consumer,CHATHAM,24/05/2017,,177,Technology,Copiers,"Canon Wireless Fax, Color",141.95,CHATHAM,Ontario
18,13,06/01/2018,28/01/2018,22,256.950012207,Standard Class,9,8,6,8,0,0,982.16,315523500,Art Ferguson,Consumer,CHATHAM,24/05/2017,,8,Technology,Accessories,"Belkin Router, Programmable",122.77,CHATHAM,Ontario
19,13,06/01/2018,28/01/2018,22,256.950012207,Standard Class,9,122,6,3,0,0,8.7,315523500,Art Ferguson,Consumer,CHATHAM,24/05/2017,,122,Office Supplies,Fasteners,"Accos Staples, Assorted Sizes",2.9,CHATHAM,Ontario
20,13,06/01/2018,28/01/2018,22,256.950012207,Standard Class,9,350,6,3,0,0,35.88,315523500,Art Ferguson,Consumer,CHATHAM,24/05/2017,,350,Office Supplies,Paper,"Eaton Computer Printout Paper, Premium",11.96,CHATHAM,Ontario
21,14,14/04/2018,26/04/2018,12,53.229999542,Standard Class,75,21,12,6,0,0,158.22,315523528,Laurel Beltran,Home Office,CHATHAM,24/05/2017,,21,Technology,Accessories,"Belkin Keyboard, Erganomic",26.37,CHATHAM,Ontario
22,14,14/04/2018,26/04/2018,12,53.229999542,Standard Class,75,29,12,2,0,0,10.08,315523528,Laurel Beltran,Home Office,CHATHAM,24/05/2017,,29,Technology,Accessories,"Memorex Numeric Keypad, USB",5.04,CHATHAM,Ontario
23,14,14/04/2018,26/04/2018,12,53.229999542,Standard Class,75,202,12,2,0,0,231.26,315523528,Laurel Beltran,Home Office,CHATHAM,24/05/2017,,202,Technology,Copiers,"HP Copy Machine, Color",115.63,CHATHAM,Ontario
24,14,14/04/2018,26/04/2018,12,53.229999542,Standard Class,75,342,12,4,0,0,99.84,315523528,Laurel Beltran,Home Office,CHATHAM,24/05/2017,,342,Office Supplies,Paper,"Enermax Cards & Envelopes, Premium",24.96,CHATHAM,Ontario
25,14,14/04/2018,26/04/2018,12,53.229999542,Standard Class,75,433,12,2,0,0,36.32,315523528,Laurel Beltran,Home Office,CHATHAM,24/05/2017,,433,Furniture,Chairs,"SAFCO Bag Chairs, Adjustable",18.16,CHATHAM,Ontario
26,15,09/07/2019,02/08/2019,24,13.039999962,Standard Class,500,308,12,1,0.002000000,0.0675,33.7025,315523770,Bill Overfelt,Corporate,DOVER,24/05/2017,,308,Office Supplies,Appliances,"Cuisinart Blender, White",33.77,DOVER,Ontario
27,16,13/10/2021,18/10/2021,5,2.799999952,Same Day,58,2,2,2,0.5,16.9,16.9,315523807,Darren Koutras,Consumer,CAMDEN,24/05/2017,,2,Technology,Accessories,"Belkin Mouse, Programmable",16.9,CAMDEN,Ontario
28,17,03/01/2020,31/01/2020,28,6.099999905,Second Class,520,442,20,2,0,0,142.74,315523922,Michael Chen,Consumer,CAMDEN,24/05/2017,,442,Furniture,Chairs,"Hon Rocking Chair, Set of Two",71.37,CAMDEN,Ontario
29,18,02/05/2018,23/05/2018,21,26.149999619,Standard Class,148,75,16,3,0,0,18.15,315524009,Mark Packer,Home Office,CHATHAM,24/05/2017,,75,Office Supplies,Fasteners,"Stockwell Thumb Tacks, 12 Pack",6.05,CHATHAM,Ontario
30,19,07/09/2020,20/09/2020,13,6.599999905,Standard Class,346,27,9,2,0,0,44.62,315523924,Mike Caudle,Corporate,CHATHAM,24/05/2017,,27,Technology,Accessories,"Logitech Keyboard, Bluetooth",22.31,CHATHAM,Ontario
31,19,07/09/2020,20/09/2020,13,6.599999905,Standard Class,346,84,9,3,0,0,22.92,315523924,Mike Caudle,Corporate,CHATHAM,24/05/2017,,84,Office Supplies,Fasteners,"Stockwell Paper Clips, Bulk Pack",7.64,CHATHAM,Ontario
32,19,07/09/2020,20/09/2020,13,6.599999905,Standard Class,346,117,9,2,0,0,17.8,315523924,Mike Caudle,Corporate,CHATHAM,24/05/2017,,117,Office Supplies,Fasteners,"Stockwell Push Pins, Metal",8.9,CHATHAM,Ontario
33,20,09/12/2018,13/12/2018,4,4.880000114,Standard Class,547,1,6,4,0,0,54.12,315523906,Patrick O'Brill,Consumer,CHATHAM,24/05/2017,,1,Technology,Accessories,"Logitech Mouse, USB",13.53,CHATHAM,Ontario
34,21,03/11/2019,30/11/2019,27,85.5,Second Class,99,27,14,2,0,0,44.62,315523542,Barry Franz,Home Office,CHATHAM,24/05/2017,,27,Technology,Accessories,"Logitech Keyboard, Bluetooth",22.31,CHATHAM,Ontario
35,21,03/11/2019,30/11/2019,27,85.5,Second Class,99,135,14,2,0,0,15.06,315523542,Barry Franz,Home Office,CHATHAM,24/05/2017,,135,Office Supplies,Fasteners,"Accos Rubber Bands, Metal",7.53,CHATHAM,Ontario
36,21,03/11/2019,30/11/2019,27,85.5,Second Class,99,396,14,2,0,0,53.88,315523542,Barry Franz,Home Office,CHATHAM,24/05/2017,,396,Office Supplies,Binders,"Wilson Jones Binding Machine, Durable",26.94,CHATHAM,Ontario
37,21,03/11/2019,30/11/2019,27,85.5,Second Class,99,431,14,8,0,0,1794.64,315523542,Barry Franz,Home Office,CHATHAM,24/05/2017,,431,Furniture,Chairs,"Office Star Executive Leather Armchair, Black",224.33,CHATHAM,Ontario
38,21,03/11/2019,30/11/2019,27,85.5,Second Class,99,451,14,2,0,0,105.56,315523542,Barry Franz,Home Office,CHATHAM,24/05/2017,,451,Furniture,Chairs,"Hon Swivel Stool, Black",52.78,CHATHAM,Ontario
39,22,02/09/2019,24/09/2019,22,14.369999886,Standard Class,536,88,10,3,0,0,18.36,315523943,Mark Haberlin,Corporate,CHATHAM,24/05/2017,,88,Office Supplies,Fasteners,"OIC Thumb Tacks, Metal",6.12,CHATHAM,Ontario
40,22,02/09/2019,24/09/2019,22,14.369999886,Standard Class,536,127,10,2,0,0,9.8,315523943,Mark Haberlin,Corporate,CHATHAM,24/05/2017,,127,Office Supplies,Fasteners,"OIC Staples, Metal",4.9,CHATHAM,Ontario
41,22,02/09/2019,24/09/2019,22,14.369999886,Standard Class,536,136,10,7,0,0,32.76,315523943,Mark Haberlin,Corporate,CHATHAM,24/05/2017,,136,Office Supplies,Fasteners,"Advantus Staples, Metal",4.68,CHATHAM,Ontario
42,22,02/09/2019,24/09/2019,22,14.369999886,Standard Class,536,258,10,7,0,0,35.56,315523943,Mark Haberlin,Corporate,CHATHAM,24/05/2017,,258,Office Supplies,Art,"Binney & Smith Pens, Water Color",5.08,CHATHAM,Ontario
43,23,09/07/2020,29/07/2020,20,35.409999847,Standard Class,501,8,6,2,0,0,245.54,315523864,Kean Takahito,Consumer,CHATHAM,24/05/2017,,8,Technology,Accessories,"Belkin Router, Programmable",122.77,CHATHAM,Ontario
44,23,09/07/2020,29/07/2020,20,35.409999847,Standard Class,501,31,6,3,0,0,465.81,315523864,Kean Takahito,Consumer,CHATHAM,24/05/2017,,31,Technology,Accessories,"Enermax Router, Erganomic",155.27,CHATHAM,Ontario
45,23,09/07/2020,29/07/2020,20,35.409999847,Standard Class,501,340,6,2,0,0,17.54,315523864,Kean Takahito,Consumer,CHATHAM,24/05/2017,,340,Office Supplies,Paper,"Eaton Memo Slips, Multicolor",8.77,CHATHAM,Ontario
46,24,29/12/2018,01/01/2019,3,3.259999990,Standard Class,294,471,8,1,0,0,8.7,315523584,Debra Catini,Consumer,CHATHAM,24/05/2017,,471,Office Supplies,Envelopes,"Ames Business Envelopes, Security-Tint",8.7,CHATHAM,Ontario
47,25,13/12/2017,06/01/2018,24,52,Standard Class,190,26,10,7,0,0,95.76,315523556,Christine Abelman,Corporate,HARWICH,24/05/2017,,26,Technology,Accessories,"Belkin Flash Drive, Erganomic",13.68,HARWICH,Ontario
48,25,13/12/2017,06/01/2018,24,52,Standard Class,190,29,10,1,0,0,5.04,315523556,Christine Abelman,Corporate,HARWICH,24/05/2017,,29,Technology,Accessories,"Memorex Numeric Keypad, USB",5.04,HARWICH,Ontario
49,25,13/12/2017,06/01/2018,24,52,Standard Class,190,52,10,1,0.200000003,2.248,8.992,315523556,Christine Abelman,Corporate,HARWICH,24/05/2017,,52,Technology,Accessories,"SanDisk Mouse, Erganomic",11.24,HARWICH,Ontario
50,25,13/12/2017,06/01/2018,24,52,Standard Class,190,111,10,6,0,0,35.88,315523556,Christine Abelman,Corporate,HARWICH,24/05/2017,,111,Office Supplies,Fasteners,"Stockwell Thumb Tacks, Metal",5.98,HARWICH,Ontario
51,26,27/04/2020,20/05/2020,23,125.620002747,Second Class,477,282,6,5,0.002000000,0.0464,23.1536,315523928,Maribeth Dona,Consumer,CHATHAM,24/05/2017,,282,Office Supplies,Art,"Binney & Smith Highlighters, Easy-Erase",4.64,CHATHAM,Ontario
52,27,12/01/2018,07/02/2018,26,66.160003662,First Class,446,29,6,3,0.400000006,6.048,9.072,315523566,Clay Cheatham,Consumer,HARWICH,24/05/2017,,29,Technology,Accessories,"Memorex Numeric Keypad, USB",5.04,HARWICH,Ontario
53,28,06/08/2018,01/09/2018,26,119.510002136,Second Class,116,9,14,6,0,0,461.16,315523707,Russell Applegate,Consumer,CHATHAM,24/05/2017,,9,Technology,Accessories,"Memorex Router, Bluetooth",76.86,CHATHAM,Ontario
54,28,06/08/2018,01/09/2018,26,119.510002136,Second Class,116,22,14,8,0,0,383.04,315523707,Russell Applegate,Consumer,CHATHAM,24/05/2017,,22,Technology,Accessories,"Enermax Memory Card, USB",47.88,CHATHAM,Ontario
55,29,04/01/2018,19/01/2018,15,11.710000038,Standard Class,36,17,20,2,0.200000003,18.332,73.328,315523984,Maribeth Schnelling,Consumer,CHATHAM,24/05/2017,,17,Technology,Accessories,"Enermax Keyboard, Bluetooth",45.83,CHATHAM,Ontario
56,29,04/01/2018,19/01/2018,15,11.710000038,Standard Class,36,28,20,2,0.200000003,6.436,25.744,315523984,Maribeth Schnelling,Consumer,CHATHAM,24/05/2017,,28,Technology,Accessories,"SanDisk Flash Drive, Programmable",16.09,CHATHAM,Ontario
57,29,04/01/2018,19/01/2018,15,11.710000038,Standard Class,36,93,20,2,0.200000003,2.816,11.264,315523984,Maribeth Schnelling,Consumer,CHATHAM,24/05/2017,,93,Office Supplies,Fasteners,"OIC Paper Clips, Bulk Pack",7.04,CHATHAM,Ontario
58,30,27/06/2019,01/07/2019,4,2.680000067,Standard Class,543,150,12,2,0,0,62.8,315523935,Neil Franz?sisch,Home Office,CHATHAM,24/05/2017,,150,Technology,Phones,"Apple Office Telephone, with Caller ID",31.4,CHATHAM,Ontario
59,31,06/03/2021,10/03/2021,4,62.75,Standard Class,501,7,10,7,0,0,83.44,315523864,Kean Takahito,Consumer,CHATHAM,24/05/2017,,7,Technology,Accessories,"Belkin Mouse, USB",11.92,CHATHAM,Ontario
60,31,06/03/2021,10/03/2021,4,62.75,Standard Class,501,462,10,2,0,0,22.86,315523864,Kean Takahito,Consumer,CHATHAM,24/05/2017,,462,Office Supplies,Supplies,"Acme Box Cutter, Serrated",11.43,CHATHAM,Ontario
61,32,12/01/2018,28/01/2018,16,32.970001221,Standard Class,456,26,8,3,0,0,41.04,315523712,Rick Bensley,Home Office,CHATHAM,24/05/2017,,26,Technology,Accessories,"Belkin Flash Drive, Erganomic",13.68,CHATHAM,Ontario
62,32,12/01/2018,28/01/2018,16,32.970001221,Standard Class,456,33,8,2,0,0,56.54,315523712,Rick Bensley,Home Office,CHATHAM,24/05/2017,,33,Technology,Accessories,"Belkin Numeric Keypad, USB",28.27,CHATHAM,Ontario
63,33,05/03/2018,25/03/2018,20,58.669998169,Standard Class,123,169,8,1,0.400000006,39.112,58.668,315523819,Darrin Van Huff,Corporate,CHATHAM,24/05/2017,,169,Technology,Phones,"Apple Audio Dock, Full Size",97.78,CHATHAM,Ontario
64,33,05/03/2018,25/03/2018,20,58.669998169,Standard Class,123,450,8,7,0.400000006,263.536,395.304,315523819,Darrin Van Huff,Corporate,CHATHAM,24/05/2017,,450,Furniture,Chairs,"Novimex Swivel Stool, Adjustable",94.12,CHATHAM,Ontario
65,34,08/05/2018,11/05/2018,3,1.509999990,Standard Class,227,377,2,3,0,0,21.72,315523632,John Dryer,Consumer,CHATHAM,24/05/2017,,377,Office Supplies,Binders,"Cardinal 3-Hole Punch, Clear",7.24,CHATHAM,Ontario
66,35,06/01/2019,22/01/2019,16,2.660000086,Standard Class,382,205,6,6,0.600000024,563.04,375.36,315523821,Erica Smith,Consumer,CHATHAM,24/05/2017,,205,Technology,Copiers,"Canon Fax Machine, High-Speed",156.4,CHATHAM,Ontario
67,36,25/09/2018,11/10/2018,16,115.720001221,Second Class,21,38,20,6,0.400000006,108.912,163.368,315523538,Lisa DeCherney,Consumer,CHATHAM,24/05/2017,,38,Technology,Accessories,"Belkin Memory Card, Erganomic",45.38,CHATHAM,Ontario
68,37,28/01/2020,07/02/2020,10,107.629997253,Standard Class,123,109,10,1,0,0,4.48,315523819,Darrin Van Huff,Corporate,CHATHAM,24/05/2017,,109,Office Supplies,Fasteners,"Stockwell Rubber Bands, 12 Pack",4.48,CHATHAM,Ontario
69,37,28/01/2020,07/02/2020,10,107.629997253,Standard Class,123,304,10,7,0.002000000,0.5342,266.5858,315523819,Darrin Van Huff,Corporate,CHATHAM,24/05/2017,,304,Office Supplies,Appliances,"Hoover Blender, Black",38.16,CHATHAM,Ontario
70,37,28/01/2020,07/02/2020,10,107.629997253,Standard Class,123,458,10,3,0,0,32.43,315523819,Darrin Van Huff,Corporate,CHATHAM,24/05/2017,,458,Office Supplies,Storage,"Eldon Folders, Blue",10.81,CHATHAM,Ontario
71,38,20/01/2018,03/02/2018,14,45.389999390,Second Class,276,22,8,2,0,0,95.76,315523873,Rob Lucas,Consumer,CHATHAM,24/05/2017,,22,Technology,Accessories,"Enermax Memory Card, USB",47.88,CHATHAM,Ontario
72,38,20/01/2018,03/02/2018,14,45.389999390,Second Class,276,30,8,3,0,0,208.83,315523873,Rob Lucas,Consumer,CHATHAM,24/05/2017,,30,Technology,Accessories,"Enermax Memory Card, Bluetooth",69.61,CHATHAM,Ontario
73,38,20/01/2018,03/02/2018,14,45.389999390,Second Class,276,222,8,3,0,0,8.82,315523873,Rob Lucas,Consumer,CHATHAM,24/05/2017,,222,Office Supplies,Labels,"Harbour Creations File Folder Labels, Alphabetical",2.94,CHATHAM,Ontario
74,39,20/09/2019,01/10/2019,11,259,Standard Class,461,25,16,3,0,0,59.52,315523990,Neola Schneider,Consumer,CHATHAM,24/05/2017,,25,Technology,Accessories,"Enermax Flash Drive, Bluetooth",19.84,CHATHAM,Ontario
75,39,20/09/2019,01/10/2019,11,259,Standard Class,461,81,16,3,0,0,15.72,315523990,Neola Schneider,Consumer,CHATHAM,24/05/2017,,81,Office Supplies,Fasteners,"OIC Staples, Bulk Pack",5.24,CHATHAM,Ontario
76,39,20/09/2019,01/10/2019,11,259,Standard Class,461,107,16,8,0,0,42.96,315523990,Neola Schneider,Consumer,CHATHAM,24/05/2017,,107,Office Supplies,Fasteners,"Stockwell Clamps, Assorted Sizes",5.37,CHATHAM,Ontario
77,39,20/09/2019,01/10/2019,11,259,Standard Class,461,112,16,2,0,0,8.4,315523990,Neola Schneider,Consumer,CHATHAM,24/05/2017,,112,Office Supplies,Fasteners,"OIC Thumb Tacks, Assorted Sizes",4.2,CHATHAM,Ontario
78,39,20/09/2019,01/10/2019,11,259,Standard Class,461,220,16,2,0,0,8.92,315523990,Neola Schneider,Consumer,CHATHAM,24/05/2017,,220,Office Supplies,Labels,"Hon Removable Labels, Adjustable",4.46,CHATHAM,Ontario
79,39,20/09/2019,01/10/2019,11,259,Standard Class,461,318,16,6,0,0,1021.44,315523990,Neola Schneider,Consumer,CHATHAM,24/05/2017,,318,Office Supplies,Appliances,"Cuisinart Refrigerator, Red",170.24,CHATHAM,Ontario
80,39,20/09/2019,01/10/2019,11,259,Standard Class,461,479,16,1,0,0,49.52,315523990,Neola Schneider,Consumer,CHATHAM,24/05/2017,,479,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Pine",49.52,CHATHAM,Ontario
81,40,20/09/2018,06/10/2018,16,110.330001831,First Class,54,53,1,4,0,0,127.2,315523577,Dean Braden,Consumer,CHATHAM,24/05/2017,,53,Technology,Accessories,"Memorex Keyboard, Bluetooth",31.8,CHATHAM,Ontario
82,41,16/08/2020,04/09/2020,19,14.600000381,Standard Class,158,73,2,3,0.200000003,2.43,9.72,315523782,Carlos Soltero,Consumer,CHATHAM,24/05/2017,,73,Office Supplies,Fasteners,"Stockwell Thumb Tacks, 12 Pack",4.05,CHATHAM,Ontario
83,42,31/08/2019,09/09/2019,9,186.059997559,First Class,377,36,9,5,0,0,103.65,315523489,Alan Dominguez,Home Office,CHATHAM,24/05/2017,,36,Technology,Accessories,"Enermax Numeric Keypad, USB",20.73,CHATHAM,Ontario
84,42,31/08/2019,09/09/2019,9,186.059997559,First Class,377,74,9,3,0,0,21.54,315523489,Alan Dominguez,Home Office,CHATHAM,24/05/2017,,74,Office Supplies,Fasteners,"OIC Paper Clips, Metal",7.18,CHATHAM,Ontario
85,43,01/12/2018,04/12/2018,3,44.209999084,Standard Class,315,19,18,5,0.200000003,24.85,99.4,315523966,Frank Merwin,Home Office,HARWICH,24/05/2017,,19,Technology,Accessories,"Enermax Numeric Keypad, Erganomic",24.85,HARWICH,Ontario
86,43,01/12/2018,04/12/2018,3,44.209999084,Standard Class,315,26,18,8,0.200000003,21.888,87.552,315523966,Frank Merwin,Home Office,HARWICH,24/05/2017,,26,Technology,Accessories,"Belkin Flash Drive, Erganomic",13.68,HARWICH,Ontario
87,43,01/12/2018,04/12/2018,3,44.209999084,Standard Class,315,306,18,3,0.202000007,19.3253,76.3447,315523966,Frank Merwin,Home Office,HARWICH,24/05/2017,,306,Office Supplies,Appliances,"Hoover Blender, Black",31.89,HARWICH,Ontario
88,44,23/12/2020,27/12/2020,4,15.569999695,Standard Class,501,5,17,3,0.400000006,97.476,146.214,315523864,Kean Takahito,Consumer,CHATHAM,24/05/2017,,5,Technology,Accessories,"SanDisk Router, Bluetooth",81.23,CHATHAM,Ontario
89,44,23/12/2020,27/12/2020,4,15.569999695,Standard Class,501,38,17,14,0.400000006,254.128,381.192,315523864,Kean Takahito,Consumer,CHATHAM,24/05/2017,,38,Technology,Accessories,"Belkin Memory Card, Erganomic",45.38,CHATHAM,Ontario
90,44,23/12/2020,27/12/2020,4,15.569999695,Standard Class,501,233,17,5,0.400000006,13.32,19.98,315523864,Kean Takahito,Consumer,CHATHAM,24/05/2017,,233,Office Supplies,Labels,"Avery Color Coded Labels, Alphabetical",6.66,CHATHAM,Ontario
91,44,23/12/2020,27/12/2020,4,15.569999695,Standard Class,501,465,17,3,0.400000006,21.276,31.914,315523864,Kean Takahito,Consumer,CHATHAM,24/05/2017,,465,Office Supplies,Supplies,"Acme Box Cutter, Easy Grip",17.73,CHATHAM,Ontario
92,45,27/03/2018,11/04/2018,15,27.739999771,First Class,469,37,4,2,0.200000003,54.876,219.504,315523579,Denny Blanton,Consumer,CHATHAM,24/05/2017,,37,Technology,Accessories,"Enermax Router, Bluetooth",137.19,CHATHAM,Ontario
93,45,27/03/2018,11/04/2018,15,27.739999771,First Class,469,81,4,2,0,0,10.48,315523579,Denny Blanton,Consumer,CHATHAM,24/05/2017,,81,Office Supplies,Fasteners,"OIC Staples, Bulk Pack",5.24,CHATHAM,Ontario
94,46,07/01/2018,15/01/2018,8,6.230000019,Standard Class,244,178,14,5,0,0,281.15,315523690,Shui Tom,Consumer,CHATHAM,24/05/2017,,178,Technology,Copiers,"Brother Ink, Laser",56.23,CHATHAM,Ontario
95,47,04/01/2018,27/01/2018,23,54.009998322,Standard Class,57,6,10,3,0,0,81.36,315524015,Mary Zewe,Corporate,DOVER,24/05/2017,,6,Technology,Accessories,"Enermax Numeric Keypad, Bluetooth",27.12,DOVER,Ontario
96,47,04/01/2018,27/01/2018,23,54.009998322,Standard Class,57,16,10,3,0,0,67.53,315524015,Mary Zewe,Corporate,DOVER,24/05/2017,,16,Technology,Accessories,"Memorex Keyboard, USB",22.51,DOVER,Ontario
97,47,04/01/2018,27/01/2018,23,54.009998322,Standard Class,57,289,10,2,0.002000000,0.103,51.397,315524015,Mary Zewe,Corporate,DOVER,24/05/2017,,289,Office Supplies,Art,"Sanford Canvas, Water Color",25.75,DOVER,Ontario
98,47,04/01/2018,27/01/2018,23,54.009998322,Standard Class,57,377,10,2,0,0,14.48,315524015,Mary Zewe,Corporate,DOVER,24/05/2017,,377,Office Supplies,Binders,"Cardinal 3-Hole Punch, Clear",7.24,DOVER,Ontario
99,48,12/11/2019,30/11/2019,18,24.729999542,First Class,399,8,2,1,0.200000003,24.554,98.216,315523853,Julia West,Consumer,CAMDEN,24/05/2017,,8,Technology,Accessories,"Belkin Router, Programmable",122.77,CAMDEN,Ontario
100,48,12/11/2019,30/11/2019,18,24.729999542,First Class,399,55,2,2,0.200000003,30.3,121.2,315523853,Julia West,Consumer,CAMDEN,24/05/2017,,55,Technology,Accessories,"Memorex Router, Erganomic",75.75,CAMDEN,Ontario
101,49,08/01/2018,24/01/2018,16,204.309997559,First Class,221,14,14,5,0.200000003,40.42,161.68,315523468,Steven Cartwright,Consumer,TILBURY E,24/05/2017,,14,Technology,Accessories,"Logitech Memory Card, Bluetooth",40.42,TILBURY E,Ontario
102,50,02/01/2021,31/01/2021,29,20.090000153,Standard Class,120,13,16,2,0.200000003,27.648,110.592,315523970,Greg Matthias,Consumer,CHATHAM,24/05/2017,,13,Technology,Accessories,"Belkin Router, USB",69.12,CHATHAM,Ontario
103,50,02/01/2021,31/01/2021,29,20.090000153,Standard Class,120,252,16,7,0,0,97.86,315523970,Greg Matthias,Consumer,CHATHAM,24/05/2017,,252,Office Supplies,Art,"BIC Sketch Pad, Fluorescent",13.98,CHATHAM,Ontario
104,51,30/05/2018,10/06/2018,11,5.179999828,Standard Class,157,5,18,1,0.400000006,32.492,48.738,315523719,Roger Demir,Consumer,CHATHAM,24/05/2017,,5,Technology,Accessories,"SanDisk Router, Bluetooth",81.23,CHATHAM,Ontario
105,51,30/05/2018,10/06/2018,11,5.179999828,Standard Class,157,358,18,7,0,0,88.34,315523719,Roger Demir,Consumer,CHATHAM,24/05/2017,,358,Office Supplies,Paper,"Xerox Cards & Envelopes, Recycled",12.62,CHATHAM,Ontario
106,52,15/09/2021,07/10/2021,22,22.5,Standard Class,482,16,2,5,0.200000003,22.51,90.04,315523648,James Galang,Consumer,CHATHAM,24/05/2017,,16,Technology,Accessories,"Memorex Keyboard, USB",22.51,CHATHAM,Ontario
107,52,15/09/2021,07/10/2021,22,22.5,Standard Class,482,211,2,6,0.200000003,131.568,526.272,315523648,James Galang,Consumer,CHATHAM,24/05/2017,,211,Technology,Copiers,"HP Fax and Copier, Digital",109.64,CHATHAM,Ontario
108,53,10/01/2018,18/01/2018,8,8.319999695,Standard Class,44,22,14,5,0,0,239.4,315523669,Kelly Collister,Consumer,HOWARD,24/05/2017,,22,Technology,Accessories,"Enermax Memory Card, USB",47.88,HOWARD,New Brunswick
